Player,Team,Gms,Att,Cmp,Pct,Yds,YPA,TD,TD%T%,Int,Int%I%,Lg,Sack,Loss,Rate
Mason RudolphM. Rudolph,TEN,1,17,9,52.9,85,5.0,0,0.0,0,0.0,27,1,8,67.0
Drake MayeD. Maye,NE,1,8,4,50.0,22,2.8,0,0.0,0,0.0,15,2,13,56.3
Baker MayfieldB. Mayfield,TB,5,153,110,71.9,"1,164",7.6,11,7.2,2,1.3,41t,16,99,112.2
Davis MillsD. Mills,HOU,1,12,7,58.3,79,6.6,0,0.0,0,0.0,25,1,7,78.1
Gardner MinshewG. Minshew,LV,5,140,99,70.7,"1,014",7.2,4,2.9,5,3.6,57t,15,106,85.8
Adonai MitchellA. Mitchell,IND,5,1,1,100.0,24,24.0,0,0.0,0,0.0,24,0,0,118.8
Darnell MooneyD. Mooney,ATL,5,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,39.6
Nick MullensN. Mullens,MIN,2,1,1,100.0,24,24.0,0,0.0,0,0.0,24,0,0,118.8
Kyler MurrayK. Murray,ARI,5,138,94,68.1,972,7.0,7,5.1,2,1.4,60t,11,64,99.1
Malik NabersM. Nabers,NYG,4,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,39.6
Bo NixB. Nix,DEN,5,165,102,61.8,866,5.2,3,1.8,4,2.4,49,7,47,71.4
Aidan O'ConnellA. O'Connell,LV,2,32,19,59.4,176,5.5,1,3.1,1,3.1,21,2,19,71.9
Dak PrescottD. Prescott,DAL,5,191,125,65.5,"1,424",7.5,8,4.2,4,2.1,65t,12,72,92.9
Brock PurdyB. Purdy,SF,6,185,121,65.4,"1,629",8.8,9,4.9,4,2.2,76t,12,53,100.5
Anthony RichardsonA. Richardson,IND,4,77,39,50.6,654,8.5,3,3.9,6,7.8,60t,4,30,60.2
Aaron RodgersA. Rodgers,NYJ,5,182,111,61.0,"1,093",6.0,7,3.9,4,2.2,36t,13,98,81.6
Marcus MariotaM. Mariota,WAS,1,3,1,33.3,-2,-0.7,0,0.0,0,0.0,-2,0,0,42.4
Cooper RushC. Rush,DAL,2,3,1,33.3,6,2.0,0,0.0,0,0.0,6,0,0,42.4
Deebo SamuelD. Samuel,SF,5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,4,0.0
Geno SmithG. Smith,SEA,6,251,173,68.9,"1,778",7.1,6,2.4,6,2.4,71t,19,118,87.0
Matthew StaffordM. Stafford,LA,5,175,118,67.4,"1,238",7.1,3,1.7,3,1.7,63,16,105,86.3
Amon-Ra St. BrownA. St. Brown,DET,4,1,1,100.0,7,7.0,1,100.0,0,0.0,7t,0,0,135.4
C.J. StroudC. Stroud,HOU,5,177,122,68.9,"1,385",7.8,7,4.0,3,1.7,67t,14,108,98.2
Tua TagovailoaT. Tagovailoa,MIA,2,62,40,64.5,483,7.8,2,3.2,3,4.8,80t,4,25,78.9
Tyrod TaylorT. Taylor,NYJ,1,8,6,75.0,36,4.5,1,12.5,0,0.0,9,0,0,122.9
Skylar ThompsonS. Thompson,MIA,2,33,21,63.6,187,5.7,0,0.0,0,0.0,22,6,44,78.7
Mitchell TrubiskyM. Trubisky,BUF,4,3,2,66.7,5,1.7,0,0.0,0,0.0,3,0,0,70.1
Deshaun WatsonD. Watson,CLE,5,176,106,60.2,852,4.8,5,2.8,3,1.7,30,26,154,74.8
Caleb WilliamsC. Williams,CHI,5,170,107,62.9,"1,091",6.4,5,2.9,4,2.4,47,17,132,81.3
Malik WillisM. Willis,GB,3,34,25,73.5,324,9.5,2,5.9,0,0.0,39,4,16,122.7
Jameis WinstonJ. Winston,CLE,3,1,1,100.0,16,16.0,0,0.0,0,0.0,16,0,0,118.8
Bryce YoungB. Young,CAR,3,63,35,55.6,303,4.8,0,0.0,3,4.8,35,7,43,48.6
Jared GoffJ. Goff,DET,4,124,88,71.0,"1,015",8.2,5,4.0,4,3.2,70t,7,56,95.3
Kyle AllenK. Allen,PIT,1,1,1,100.0,19,19.0,0,0.0,0,0.0,19,0,0,118.8
Chatarius AtwellC. Atwell,LA,5,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,39.6
Tim BoyleT. Boyle,MIA,1,13,7,53.9,79,6.1,0,0.0,0,0.0,30,1,9,72.3
Jacoby BrissettJ. Brissett,NE,5,135,79,58.5,696,5.2,2,1.5,1,0.7,50,17,108,74.2
Joe BurrowJ. Burrow,CIN,5,173,125,72.2,"1,370",7.9,12,6.9,2,1.2,70t,11,55,113.6
Derek CarrD. Carr,NO,5,128,90,70.3,989,7.7,8,6.2,4,3.1,70t,5,26,100.7
Ty ChandlerT. Chandler,MIN,5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,1,0.0
Kirk CousinsK. Cousins,ATL,5,177,119,67.2,"1,373",7.8,8,4.5,5,2.8,50,10,70,93.7
Andy DaltonA. Dalton,CAR,4,106,69,65.1,675,6.4,5,4.7,2,1.9,39,5,33,90.7
Jayden DanielsJ. Daniels,WAS,5,131,101,77.1,"1,135",8.7,4,3.0,2,1.5,66,12,62,106.3
Sam DarnoldS. Darnold,MIN,5,137,87,63.5,"1,111",8.1,11,8.0,4,2.9,97t,14,95,103.4
Stefon DiggsS. Diggs,HOU,5,1,1,100.0,13,13.0,0,0.0,0,0.0,13,0,0,118.8
Justin FieldsJ. Fields,PIT,5,136,92,67.7,961,7.1,5,3.7,1,0.7,55t,13,89,97.1
Joe FlaccoJ. Flacco,IND,2,70,49,70.0,527,7.5,5,7.1,0,0.0,65t,6,49,115.6
Jack FoxJ. Fox,DET,4,1,1,100.0,17,17.0,0,0.0,0,0.0,17,0,0,118.8
Josh AllenJ. Allen,BUF,5,131,79,60.3,945,7.2,8,6.1,0,0.0,52,6,42,102.8
Jake HaenerJ. Haener,NO,3,8,2,25.0,17,2.1,0,0.0,0,0.0,11,0,0,39.6
Taylor HeinickeT. Heinicke,LAC,1,2,2,100.0,24,12.0,0,0.0,0,0.0,18,3,28,116.7
Johnny HekkerJ. Hekker,CAR,5,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,39.6
Justin HerbertJ. Herbert,LAC,4,91,59,64.8,578,6.3,5,5.5,1,1.1,37,6,30,96.3
Tyler HuntleyT. Huntley,MIA,2,53,32,60.4,290,5.5,0,0.0,1,1.9,21,5,33,67.3
Jalen HurtsJ. Hurts,PHI,4,132,90,68.2,930,7.0,4,3.0,4,3.0,67t,13,83,85.7
Lamar JacksonL. Jackson,BAL,5,150,98,65.3,"1,206",8.0,9,6.0,1,0.7,56,5,25,107.3
Josh JohnsonJ. Johnson,BAL,1,1,1,100.0,1,1.0,0,0.0,0,0.0,1,0,0,79.2
Daniel JonesD. Jones,NYG,5,178,114,64.0,"1,138",6.4,6,3.4,3,1.7,41,12,47,86.3
Mac JonesM. Jones,JAX,1,8,5,62.5,22,2.8,0,0.0,0,0.0,9,1,17,66.7
Trevor LawrenceT. Lawrence,JAX,5,156,93,59.6,"1,100",7.0,6,3.9,2,1.3,85t,12,97,88.6
Will LevisW. Levis,TEN,4,98,67,68.4,604,6.2,4,4.1,6,6.1,40t,15,101,72.8
Jordan LoveJ. Love,GB,3,114,64,56.1,873,7.7,8,7.0,5,4.4,70t,4,42,85.9
Patrick MahomesP. Mahomes,KC,5,160,111,69.4,"1,235",7.7,6,3.8,6,3.8,54t,9,51,88.9
