Player,Team,Gms,Att,Yds,Avg,YPG,Lg,TD,FD
Ameer AbdullahA. Abdullah,LV,5,7,43,6.14,8.6,40,1,2
De'Von AchaneD. Achane,MIA,5,56,183,3.27,36.6,17,1,8
Jordan AddisonJ. Addison,MIN,3,1,7,7.00,2.3,7t,1,1
Cam AkersC. Akers,HOU,4,38,148,3.89,37.0,15t,1,5
Brandon AllenB. Allen,SF,1,1,-1,-1.00,-1.0,-1,0,0
Braelon AllenB. Allen,NYJ,5,32,143,4.47,28.6,20t,1,8
Josh AllenJ. Allen,BUF,5,26,160,6.15,32.0,19,2,14
Tyler AllgeierT. Allgeier,ATL,5,33,178,5.39,35.6,15,0,10
Chatarius AtwellC. Atwell,LA,5,1,7,7.00,1.4,7,0,0
Tyler BadieT. Badie,DEN,3,11,86,7.82,28.7,43,0,4
Tyson BagentT. Bagent,CHI,1,3,-4,-1.33,-4.0,-1,0,0
Jake BaileyJ. Bailey,MIA,5,1,0,0.00,0.0,0,0,0
Saquon BarkleyS. Barkley,PHI,4,73,435,5.96,108.8,65t,4,18
Trey BensonT. Benson,ARI,4,25,81,3.24,20.2,13,0,5
Cartavious BigsbyC. Bigsby,JAX,5,34,273,8.03,54.6,65t,2,8
Mike BooneM. Boone,CAR,2,4,7,1.75,3.5,5,0,0
Brock BowersB. Bowers,LV,5,1,12,12.00,2.4,12,0,1
Tim BoyleT. Boyle,MIA,1,1,6,6.00,6.0,6,0,0
Jacoby BrissettJ. Brissett,NE,5,12,51,4.25,10.2,16,0,4
British BrooksB. Brooks,HOU,5,1,2,2.00,0.4,2,0,0
Christopher BrooksC. Brooks,GB,3,3,3,1.00,1.0,3,0,0
Chase BrownC. Brown,CIN,5,41,230,5.61,46.0,20,2,12
Treylon BurksT. Burks,TEN,4,2,1,0.50,0.2,6,0,0
Joe BurrowJ. Burrow,CIN,5,14,39,2.79,7.8,10,0,6
Derek CarrD. Carr,NO,5,8,22,2.75,4.4,8,1,2
Ty ChandlerT. Chandler,MIN,5,42,147,3.50,29.4,25,0,6
Zach CharbonnetZ. Charbonnet,SEA,6,49,187,3.82,31.2,13,3,11
James ConnerJ. Conner,ARI,5,83,379,4.57,75.8,22,3,27
James CookJ. Cook,BUF,5,70,309,4.41,61.8,49t,4,16
Brandin CooksB. Cooks,DAL,4,2,2,1.00,0.5,5,0,0
Blake CorumB. Corum,LA,5,13,53,4.08,10.6,12,0,5
Kirk CousinsK. Cousins,ATL,5,6,-2,-0.33,-0.4,1,0,0
Andy DaltonA. Dalton,CAR,4,6,10,1.67,2.5,6,0,1
Jayden DanielsJ. Daniels,WAS,5,57,300,5.26,60.0,34,4,22
Sam DarnoldS. Darnold,MIN,5,20,61,3.05,12.2,18,0,7
Derius DavisD. Davis,LAC,4,3,17,5.67,4.2,8,0,1
Isaiah DavisI. Davis,NYJ,5,3,6,2.00,1.2,4,0,1
Re'Mahn DavisR. Davis,BUF,5,26,75,2.88,15.0,13,1,5
Nathaniel DellN. Dell,HOU,4,6,30,5.00,7.5,18,0,2
Emari DemercadoE. Demercado,ARI,5,8,77,9.63,15.4,41,0,2
Stefon DiggsS. Diggs,HOU,5,2,12,6.00,2.4,6t,1,1
J.K. DobbinsJ. Dobbins,LAC,4,56,342,6.11,85.5,61,2,14
Greg DortchG. Dortch,ARI,5,1,4,4.00,0.8,4,0,0
Demario DouglasD. Douglas,NE,5,1,9,9.00,1.8,9,0,0
Rico DowdleR. Dowdle,DAL,5,54,221,4.09,44.2,13,0,14
Ashton DulinA. Dulin,IND,5,1,9,9.00,1.8,9,0,0
Devin DuvernayD. Duvernay,JAX,5,3,10,3.33,2.0,4,0,1
Gus EdwardsG. Edwards,LAC,4,38,113,2.97,28.2,10,0,3
Austin EkelerA. Ekeler,WAS,4,19,150,7.89,37.5,50,1,5
Ezekiel ElliottE. Elliott,DAL,5,30,98,3.27,19.6,9,1,6
Audric EstimeA. Estime,DEN,1,2,14,7.00,14.0,12,0,1
Travis EtienneT. Etienne,JAX,5,53,231,4.36,46.2,22,2,14
Justin FieldsJ. Fields,PIT,5,44,172,3.91,34.4,16,3,13
Joe FlaccoJ. Flacco,IND,2,5,25,5.00,12.5,21,0,2
Zay FlowersZ. Flowers,BAL,5,4,26,6.50,5.2,9,0,0
Jerome FordJ. Ford,CLE,5,48,250,5.21,50.0,36,1,16
D'Onta ForemanD. Foreman,CLE,5,29,93,3.21,18.6,25,0,3
Kenny GainwellK. Gainwell,PHI,4,5,17,3.40,4.2,9,0,1
Myles GaskinM. Gaskin,MIN,5,3,-1,-0.33,-0.2,2,0,0
