,,,,Touchdowns,Kicking,Misc,Player,Team,Gms,Pts,Tot,R,P,KR,PR,IR,FR,BK,BP,FGR,PAT,FG,2Pt,Saf
,,,,,,,,,,,,,,,,,,,,,,,,
Zach AllenZ. Allen,DEN,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
Andrew Van GinkelA. Van Ginkel,MIN,5,12,2,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,,,,
Dre'Mont JonesD. Jones,SEA,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
Chamarri ConnerC. Conner,KC,5,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
Sam HubbardS. Hubbard,CIN,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
Ja'Marcus IngramJ. Ingram,BUF,5,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,
Fred WarnerF. Warner,SF,6,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,
Alex WrightA. Wright,CLE,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
Ameer AbdullahA. Abdullah,LV,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
De'Von AchaneD. Achane,MIA,5,12,2,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Davante AdamsD. Adams,LV,3,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jordan AddisonJ. Addison,MIN,3,12,2,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cam AkersC. Akers,HOU,4,12,2,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jordan AkinsJ. Akins,CLE,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jaire AlexanderJ. Alexander,GB,3,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,
Mo Alie-CoxM. Alie-Cox,IND,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Braelon AllenB. Allen,NYJ,5,12,2,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Josh AllenJ. Allen,BUF,5,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Troy AndersenT. Andersen,ATL,4,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,
Brandon AubreyB. Aubrey,DAL,5,51,0,0,0,0,0,0,0,0,0,0,9,14,0,0,,,,,,,
Calvin AustinC. Austin,PIT,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Saquon BarkleyS. Barkley,PHI,4,34,5,4,1,0,0,0,0,0,0,0,0,0,2,0,,,,,,,
AJ BarnerA. Barner,SEA,6,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Tyler BassT. Bass,BUF,5,40,0,0,0,0,0,0,0,0,0,0,16,8,0,0,,,,,,,
Rashod BatemanR. Bateman,BAL,5,12,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jake BatesJ. Bates,DET,4,26,0,0,0,0,0,0,0,0,0,0,11,5,0,0,,,,,,,
Cartavious BigsbyC. Bigsby,JAX,5,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Chris BoswellC. Boswell,PIT,5,44,0,0,0,0,0,0,0,0,0,0,8,12,0,0,,,,,,,
Brock BowersB. Bowers,LV,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
A.J. BrownA. Brown,PHI,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Chase BrownC. Brown,CIN,5,20,3,2,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,
Dyami BrownD. Brown,WAS,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Harrison ButkerH. Butker,KC,5,46,0,0,0,0,0,0,0,0,0,0,10,12,0,0,,,,,,,
Parris CampbellP. Campbell,PHI,3,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Daniel CarlsonD. Carlson,LV,5,32,0,0,0,0,0,0,0,0,0,0,8,8,0,0,,,,,,,
Derek CarrD. Carr,NO,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Zach CharbonnetZ. Charbonnet,SEA,6,24,4,3,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Ja'Marr ChaseJ. Chase,CIN,5,30,5,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Keon ColemanK. Coleman,BUF,5,12,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Nico CollinsN. Collins,HOU,5,18,3,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
James ConnerJ. Conner,ARI,5,22,3,3,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,,
James CookJ. Cook,BUF,5,30,5,4,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Brandin CooksB. Cooks,DAL,4,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Amari CooperA. Cooper,CLE,5,12,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
DeeJay DallasD. Dallas,ARI,5,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jayden DanielsJ. Daniels,WAS,5,24,4,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Re'Mahn DavisR. Davis,BUF,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cameron DickerC. Dicker,LAC,4,26,0,0,0,0,0,0,0,0,0,0,5,7,0,0,,,,,,,
Stefon DiggsS. Diggs,HOU,5,18,3,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
J.K. DobbinsJ. Dobbins,LAC,4,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rico DowdleR. Dowdle,DAL,5,12,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Josh DownsJ. Downs,IND,3,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Ashton DulinA. Dulin,IND,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Austin EkelerA. Ekeler,WAS,4,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Ezekiel ElliottE. Elliott,DAL,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jake ElliottJ. Elliott,PHI,4,20,0,0,0,0,0,0,0,0,0,0,8,4,0,0,,,,,,,
Zach ErtzZ. Ertz,WAS,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,
Travis EtienneT. Etienne,JAX,5,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Mike EvansM. Evans,TB,5,30,5,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Ka'imi FairbairnK. Fairbairn,HOU,5,42,0,0,0,0,0,0,0,0,0,0,9,11,0,0,,,,,,,
Justin FieldsJ. Fields,PIT,5,18,3,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Zay FlowersZ. Flowers,BAL,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Nick FolkN. Folk,TEN,4,29,0,0,0,0,0,0,0,0,0,0,8,7,0,0,,,,,,,
Jerome FordJ. Ford,CLE,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bryce Ford-WheatonB. Ford-Wheaton,NYG,5,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,
Pat FreiermuthP. Freiermuth,PIT,5,12,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Graham GanoG. Gano,NYG,2,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,,,,
Matt GayM. Gay,IND,4,26,0,0,0,0,0,0,0,0,0,0,11,5,0,0,,,,,,,
Jahmyr GibbsJ. Gibbs,DET,4,24,4,3,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Chris GodwinC. Godwin,TB,5,18,3,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jared GoffJ. Goff,DET,4,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Blake GrupeB. Grupe,NO,5,38,0,0,0,0,0,0,0,0,0,0,14,8,0,0,,,,,,,
Breece HallB. Hall,NYJ,5,18,3,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
C.J. HamC. Ham,MIN,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Marvin HarrisonM. Harrison,ARI,5,24,4,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Derrick HenryD. Henry,BAL,5,42,7,6,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Khalil HerbertK. Herbert,CHI,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Connor HeywardC. Heyward,PIT,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Elijah HigginsE. Higgins,ARI,5,12,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Tee HigginsT. Higgins,CIN,3,12,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Justice HillJ. Hill,BAL,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Taysom HillT. Hill,NO,3,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Tyreek HillT. Hill,MIA,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Khadarel HodgeK. Hodge,ATL,5,12,2,0,1,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
Mack HollinsM. Hollins,BUF,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Austin HooperA. Hooper,NE,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
DeAndre HopkinsD. Hopkins,TEN,4,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Dustin HopkinsD. Hopkins,CLE,5,27,0,0,0,0,0,0,0,0,0,0,6,7,0,0,,,,,,,
Chuba HubbardC. Hubbard,CAR,5,18,3,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Kareem HuntK. Hunt,KC,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Tyler HuntleyT. Huntley,MIA,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jalen HurtsJ. Hurts,PHI,4,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Alec IngoldA. Ingold,MIA,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Andrei IosivasA. Iosivas,CIN,5,18,3,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Mar'Keise IrvingM. Irving,TB,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Lamar JacksonL. Jackson,BAL,5,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Josh JacobsJ. Jacobs,GB,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Justin JeffersonJ. Jefferson,MIN,5,24,4,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rayshawn JenkinsR. Jenkins,SEA,6,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
Jauan JenningsJ. Jennings,SF,6,18,3,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jerry JeudyJ. Jeudy,CLE,5,8,1,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,
Diontae JohnsonD. Johnson,CAR,5,12,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Juwan JohnsonJ. Johnson,NO,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Quentin JohnstonQ. Johnston,LAC,4,18,3,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Roschon JohnsonR. Johnson,CHI,4,18,3,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Ty JohnsonT. Johnson,BUF,5,12,2,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Aaron JonesA. Jones,MIN,5,12,2,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Greg JosephG. Joseph,NYG,3,29,0,0,0,0,0,0,0,0,0,0,5,8,0,0,,,,,,,
